log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-10-08 16:25:57.065794,1696796757.0657842,2023-10-08 20:25:57.65,1696796757.065523,300.0,Purdue-stadium,RemoteBSM,1501,NA,NA
2023-10-08 16:25:57.080295,1696796757.0802855,2023-10-08 20:25:57.79,1696796757.0798,300.0,Purdue-stadium,SSM,0,NA,NA
2023-10-08 16:25:57.080391,1696796757.0803885,2023-10-08 20:25:57.80,1696796757.080185,300.0,Purdue-stadium,MAP,298,NA,NA
2023-10-08 16:25:57.080447,1696796757.0804446,2023-10-08 20:25:57.80,1696796757.0803,300.0,Purdue-stadium,SPaT,2987,NA,NA
2023-10-08 16:25:57.897574,1696796757.8975637,2023-10-08 20:25:57.897,1696796757.897139,300.0,Purdue-stadium,SRM,0,0,0
2023-10-08 16:30:57.027984,1696797057.0279737,2023-10-08 20:30:57.27,1696797057.027721,300.0,Purdue-stadium,RemoteBSM,1505,NA,NA
2023-10-08 16:30:57.094641,1696797057.0946321,2023-10-08 20:30:57.94,1696797057.094388,300.0,Purdue-stadium,SSM,0,NA,NA
2023-10-08 16:30:57.094732,1696797057.094729,2023-10-08 20:30:57.94,1696797057.094533,300.0,Purdue-stadium,MAP,300,NA,NA
2023-10-08 16:30:57.094782,1696797057.0947802,2023-10-08 20:30:57.94,1696797057.094636,300.0,Purdue-stadium,SPaT,3000,NA,NA
2023-10-08 16:30:57.929582,1696797057.9295719,2023-10-08 20:30:57.929,1696797057.929136,300.0,Purdue-stadium,SRM,0,0,0
2023-10-08 16:35:57.010699,1696797357.01069,2023-10-08 20:35:57.10,1696797357.010436,300.0,Purdue-stadium,SSM,0,NA,NA
2023-10-08 16:35:57.010800,1696797357.0107965,2023-10-08 20:35:57.10,1696797357.010594,300.0,Purdue-stadium,MAP,300,NA,NA
2023-10-08 16:35:57.010849,1696797357.0108466,2023-10-08 20:35:57.10,1696797357.010704,300.0,Purdue-stadium,SPaT,2999,NA,NA
2023-10-08 16:35:57.165978,1696797357.1659682,2023-10-08 20:35:57.165,1696797357.165702,300.0,Purdue-stadium,RemoteBSM,1504,NA,NA
2023-10-08 16:35:57.961567,1696797357.9615543,2023-10-08 20:35:57.961,1696797357.961122,300.0,Purdue-stadium,SRM,0,0,0
2023-10-08 16:40:57.025343,1696797657.0253348,2023-10-08 20:40:57.25,1696797657.025028,300.0,Purdue-stadium,SSM,0,NA,NA
2023-10-08 16:40:57.025442,1696797657.0254393,2023-10-08 20:40:57.25,1696797657.025194,300.0,Purdue-stadium,MAP,300,NA,NA
2023-10-08 16:40:57.025489,1696797657.0254872,2023-10-08 20:40:57.25,1696797657.025296,300.0,Purdue-stadium,SPaT,3000,NA,NA
2023-10-08 16:40:57.079642,1696797657.079632,2023-10-08 20:40:57.79,1696797657.079377,300.0,Purdue-stadium,RemoteBSM,1502,NA,NA
2023-10-08 16:40:57.993627,1696797657.9936137,2023-10-08 20:40:57.993,1696797657.993091,300.0,Purdue-stadium,SRM,0,0,0
2023-10-08 16:45:57.040484,1696797957.0404747,2023-10-08 20:45:57.40,1696797957.040218,300.0,Purdue-stadium,SSM,0,NA,NA
2023-10-08 16:45:57.040592,1696797957.0405886,2023-10-08 20:45:57.40,1696797957.040368,300.0,Purdue-stadium,MAP,300,NA,NA
2023-10-08 16:45:57.040644,1696797957.0406415,2023-10-08 20:45:57.40,1696797957.040476,300.0,Purdue-stadium,SPaT,3000,NA,NA
2023-10-08 16:45:57.173261,1696797957.1732502,2023-10-08 20:45:57.173,1696797957.173007,300.0,Purdue-stadium,RemoteBSM,1504,NA,NA
