log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,minuteOfYear,msOfMinute,msgCount,regionalID,intersectionID,priorityRequestType,basicVehicleRole,laneID,eTA_Minute,eTA_Second,eTA_Duration,vehicleID,latitude,longitude,elevation,heading,speed
2023-10-08 16:53:11.195984,1696798391.1960037,2023-10-08 20:53:11.195,1696798391.195521,37577,52000,2,0,31416,1,16,5,37577,56000,4000,-632621188,40.4382749,-86.9187502,177.9,165.0,3.0,
2023-10-08 16:53:15.260294,1696798395.2603142,2023-10-08 20:53:15.259,1696798395.25982,37577,56000,4,0,31416,2,16,5,37578,3494,4000,-632621188,40.4381176,-86.9187,177.5,166.0,5.0,
2023-10-08 16:53:19.367589,1696798399.3676088,2023-10-08 20:53:19.367,1696798399.367107,37578,1000,6,0,31416,2,16,5,37578,5000,4000,-632621188,40.4379687,-86.9186499,177.0,166.0,3.0,
2023-10-08 16:53:24.285825,1696798404.2858443,2023-10-08 20:53:24.285,1696798404.285322,37578,5000,8,0,31416,2,16,5,37578,9000,4000,-632621188,40.437901,-86.9186258,176.6,166.0,1.0,
2023-10-08 16:53:28.957705,1696798408.9577236,2023-10-08 20:53:28.957,1696798408.957263,37578,10000,10,0,31416,2,16,5,37578,14000,4000,-632621188,40.4378945,-86.9186248,176.2,166.0,0.0,
2023-10-08 16:53:33.025809,1696798413.025834,2023-10-08 20:53:33.25,1696798413.025263,37578,14000,12,0,31416,2,16,5,37578,18000,4000,-632621188,40.4378937,-86.9186268,176.0,166.0,0.0,
2023-10-08 16:53:37.932057,1696798417.9320827,2023-10-08 20:53:37.931,1696798417.931586,37578,19000,14,0,31416,2,16,5,37578,23000,4000,-632621188,40.4378916,-86.9186276,175.9,166.0,0.0,
2023-10-08 16:53:42.106491,1696798422.1065123,2023-10-08 20:53:42.106,1696798422.106022,37578,23000,16,0,31416,2,16,5,37578,27000,4000,-632621188,40.4378906,-86.918626,175.7,166.0,0.0,
2023-10-08 16:53:46.201582,1696798426.201598,2023-10-08 20:53:46.201,1696798426.201125,37578,27000,18,0,31416,2,16,5,37578,31000,4000,-632621188,40.4378353,-86.9186079,175.3,172.0,3.0,
2023-10-08 16:54:18.358959,1696798458.3589764,2023-10-08 20:54:18.358,1696798458.358538,37579,0,20,0,31416,1,16,1,37579,24830,4000,-632621188,40.4365835,-86.918154,172.6,344.0,5.0,
2023-10-08 16:54:22.431049,1696798462.4310665,2023-10-08 20:54:22.430,1696798462.430569,37579,4000,22,0,31416,2,16,1,37579,18181,4000,-632621188,40.4368004,-86.9182274,173.2,346.0,7.0,
2023-10-08 16:54:26.458911,1696798466.4589238,2023-10-08 20:54:26.458,1696798466.458565,37579,8000,24,0,31416,2,16,1,37579,20361,4000,-632621188,40.4370196,-86.9182998,173.9,346.0,6.0,
2023-10-08 16:54:30.544023,1696798470.5440416,2023-10-08 20:54:30.543,1696798470.543592,37579,12000,26,0,31416,2,16,1,37579,18834,4000,-632621188,40.4372492,-86.9183779,174.4,346.0,7.0,
2023-10-08 16:54:34.641488,1696798474.6415083,2023-10-08 20:54:34.641,1696798474.641034,37579,16000,28,0,31416,2,16,1,37579,19793,4000,-632621188,40.4374693,-86.9184441,174.5,347.0,6.0,
2023-10-08 16:54:38.794476,1696798478.7944953,2023-10-08 20:54:38.794,1696798478.794017,37579,20000,30,0,31416,2,16,1,37579,24000,4000,-632621188,40.437611,-86.9184902,174.8,346.0,2.0,
2023-10-08 16:54:42.837593,1696798482.8376126,2023-10-08 20:54:42.837,1696798482.837149,37579,24000,32,0,31416,2,16,1,37579,28000,4000,-632621188,40.4376212,-86.9184922,174.7,346.0,0.0,
2023-10-08 16:54:46.939314,1696798486.9393322,2023-10-08 20:54:46.938,1696798486.938837,37579,28000,34,0,31416,2,16,1,37579,32000,4000,-632621188,40.4376219,-86.9184926,174.4,346.0,0.0,
