log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,minuteOfYear,msOfMinute,msgCount,regionalID,intersectionID,priorityRequestType,basicVehicleRole,laneID,eTA_Minute,eTA_Second,eTA_Duration,vehicleID,latitude,longitude,elevation,heading,speed
2023-06-14 10:46:53.145031,1686754013.1450388,2023-06-14 14:46:53.144,1686754013.144715,38941,9000,93,0,2780,2,16,4,38941,13000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:46:57.195296,1686754017.1953168,2023-06-14 14:46:57.194,1686754017.194923,38941,13000,95,0,2780,2,16,4,38941,17000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:47:01.244782,1686754021.244789,2023-06-14 14:47:01.244,1686754021.24457,38941,17000,97,0,2780,2,16,4,38941,21000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:47:05.299072,1686754025.2991092,2023-06-14 14:47:05.298,1686754025.298699,38941,22000,99,0,2780,2,16,4,38941,26000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:47:09.356473,1686754029.3564792,2023-06-14 14:47:09.356,1686754029.356268,38941,26000,101,0,2780,2,16,4,38941,30000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:47:13.409930,1686754033.4099357,2023-06-14 14:47:13.409,1686754033.409744,38941,30000,103,0,2780,2,16,4,38941,34000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:47:17.468558,1686754037.4685657,2023-06-14 14:47:17.468,1686754037.468338,38941,34000,105,0,2780,2,16,4,38941,38000,4000,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:47:21.518138,1686754041.518144,2023-06-14 14:47:21.517,1686754041.517947,38941,38000,107,0,2780,2,16,4,38941,42000,4000,939524096,42.3006312,-83.6985982,23.9,1.0,2.0,
2023-06-14 10:47:24.868423,1686754044.8684282,2023-06-14 14:47:24.868,1686754044.868242,38941,41000,109,0,2780,3,16,1,38941,43000,4000,939524096,42.3007965,-83.6985924,23.9,1.0,8.0,
2023-06-14 10:47:32.667257,1686754052.6672676,2023-06-14 14:47:32.667,1686754052.667114,38941,49000,111,0,2780,1,16,4,38941,56336,4000,939524096,42.3001962,-83.6985865,23.9,359.0,9.0,
2023-06-14 10:47:36.710308,1686754056.7103202,2023-06-14 14:47:36.710,1686754056.710145,38941,53000,113,0,2780,2,16,4,38941,57005,4000,939524096,42.300502,-83.6986019,23.9,0.0,8.0,
2023-06-14 10:48:03.310526,1686754083.310533,2023-06-14 14:48:03.310,1686754083.310372,37502,20000,2,0,2780,1,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:48:07.363255,1686754087.3632612,2023-06-14 14:48:07.363,1686754087.363145,37502,24000,4,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
2023-06-14 10:48:11.415838,1686754091.4158504,2023-06-14 14:48:11.415,1686754091.41558,37502,28000,6,0,2780,2,16,4,0,4,4,939524096,42.3006235,-83.6985984,23.9,1.0,0.0,
