log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2023-07-19 16:06:49.003374,1689797209.0033708,2023-07-19 20:06:49.2,1689797209.002462,300.0,mcity-main,RemoteBSM,13057,NA,NA
2023-07-19 16:06:49.048683,1689797209.048681,2023-07-19 20:06:49.47,1689797209.047684,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:06:49.048709,1689797209.048709,2023-07-19 20:06:49.48,1689797209.048617,300.0,mcity-main,MAP,299,NA,NA
2023-07-19 16:06:49.048723,1689797209.0487223,2023-07-19 20:06:49.48,1689797209.048654,300.0,mcity-main,SPaT,2991,NA,NA
2023-07-19 16:06:53.500116,1689797213.5001132,2023-07-19 20:06:53.499,1689797213.499619,300.0,mcity-main,SRM,0,0,0
2023-07-19 16:11:49.002899,1689797509.0028844,2023-07-19 20:11:49.2,1689797509.002498,300.0,mcity-main,RemoteBSM,8627,NA,NA
2023-07-19 16:11:49.055430,1689797509.055421,2023-07-19 20:11:49.55,1689797509.055121,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:11:49.055553,1689797509.0555491,2023-07-19 20:11:49.55,1689797509.055323,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 16:11:49.055600,1689797509.055598,2023-07-19 20:11:49.55,1689797509.05545,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 16:11:55.547717,1689797515.5477128,2023-07-19 20:11:55.547,1689797515.547514,300.0,mcity-main,SRM,0,0,0
2023-07-19 16:16:49.002249,1689797809.0022457,2023-07-19 20:16:49.2,1689797809.002181,300.0,mcity-main,RemoteBSM,12115,NA,NA
2023-07-19 16:16:49.056386,1689797809.0563838,2023-07-19 20:16:49.56,1689797809.056267,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:16:49.056413,1689797809.0564127,2023-07-19 20:16:49.56,1689797809.056317,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 16:16:49.056427,1689797809.0564265,2023-07-19 20:16:49.56,1689797809.056351,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 16:16:56.571729,1689797816.571727,2023-07-19 20:16:56.571,1689797816.571603,300.0,mcity-main,SRM,0,0,0
2023-07-19 16:21:49.002692,1689798109.0026689,2023-07-19 20:21:49.2,1689798109.002388,300.0,mcity-main,RemoteBSM,10226,NA,NA
2023-07-19 16:21:49.065072,1689798109.065062,2023-07-19 20:21:49.64,1689798109.064745,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:21:49.065200,1689798109.0651956,2023-07-19 20:21:49.64,1689798109.064961,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 16:21:49.065257,1689798109.0652544,2023-07-19 20:21:49.65,1689798109.065102,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 16:21:57.499755,1689798117.499751,2023-07-19 20:21:57.499,1689798117.499625,300.0,mcity-main,SRM,0,0,0
2023-07-19 16:26:49.001825,1689798409.001823,2023-07-19 20:26:49.1,1689798409.001766,300.0,mcity-main,RemoteBSM,13339,NA,NA
2023-07-19 16:26:49.065662,1689798409.06566,2023-07-19 20:26:49.65,1689798409.065519,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:26:49.065699,1689798409.065699,2023-07-19 20:26:49.65,1689798409.065569,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 16:26:49.065713,1689798409.0657125,2023-07-19 20:26:49.65,1689798409.065609,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 16:26:58.491808,1689798418.4918058,2023-07-19 20:26:58.491,1689798418.49162,300.0,mcity-main,SRM,0,0,0
2023-07-19 16:31:49.002503,1689798709.0024998,2023-07-19 20:31:49.2,1689798709.002392,300.0,mcity-main,RemoteBSM,13385,NA,NA
2023-07-19 16:31:49.070160,1689798709.0701594,2023-07-19 20:31:49.70,1689798709.070097,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:31:49.070199,1689798709.0701985,2023-07-19 20:31:49.70,1689798709.070161,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 16:31:49.070232,1689798709.0702312,2023-07-19 20:31:49.70,1689798709.070202,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 16:31:58.523853,1689798718.5238483,2023-07-19 20:31:58.523,1689798718.523633,300.0,mcity-main,SRM,0,0,0
2023-07-19 16:36:49.003591,1689799009.0035882,2023-07-19 20:36:49.3,1689799009.003409,300.0,mcity-main,RemoteBSM,13334,NA,NA
2023-07-19 16:36:49.075655,1689799009.0756528,2023-07-19 20:36:49.75,1689799009.075501,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:36:49.075681,1689799009.075681,2023-07-19 20:36:49.75,1689799009.075585,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 16:36:49.075695,1689799009.0756943,2023-07-19 20:36:49.75,1689799009.075626,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 16:36:59.515731,1689799019.5157287,2023-07-19 20:36:59.515,1689799019.51553,300.0,mcity-main,SRM,0,0,0
2023-07-19 16:41:49.004331,1689799309.0043283,2023-07-19 20:41:49.4,1689799309.004201,300.0,mcity-main,RemoteBSM,13582,NA,NA
2023-07-19 16:41:49.081390,1689799309.0813878,2023-07-19 20:41:49.81,1689799309.081239,300.0,mcity-main,SSM,0,NA,NA
2023-07-19 16:41:49.081421,1689799309.0814202,2023-07-19 20:41:49.81,1689799309.081298,300.0,mcity-main,MAP,300,NA,NA
2023-07-19 16:41:49.081434,1689799309.0814333,2023-07-19 20:41:49.81,1689799309.081332,300.0,mcity-main,SPaT,3000,NA,NA
2023-07-19 16:42:00.507747,1689799320.507743,2023-07-19 20:42:00.507,1689799320.507523,300.0,mcity-main,SRM,0,0,0
